# SDN Packet definition. From PLC to FC
# Any line starting with a # will be ignored
# Unique Name, Type, Size, Default Value, Comment/Extra
# PLC SDN Header
N_Reals,uint8,1,24,Number of reals
N_Integer,uint8,1,0,Number of integer values
N_Acks,uint8,1,27,Number of acknowledge
N_States,uint8,1,36,Number of states
N_Alarms,uint8,1,24,Number of alarms (bits)
Spare_Bytes,uint8,3,,Spare bytes
#Reals/Floats
Float_Rcv_Spare_0,float32,1,NA,Not Used
Float_Rcv_Spare_1,float32,1,NA,Not Used
EC-GN-P01-GA-CCPS:IREF,float32,1,NA,CCPS_A Current Reference
EC-GN-P01-GA-FHPS:Voltage,float32,1,NA,FHPS_A Voltage
EC-GN-P01-GA-FHPS:Current,float32,1,NA,FHPS_A Current
EC-GN-P01-GA-FHPS:IREF,float32,1,NA,FHPS_A Current Reference
EC-GN-P01-GA-MCPS:Voltage,float32,1,NA,MCPS_A Voltage
EC-GN-P01-GA-MCPS:Current,float32,1,NA,MCPS_A Current
EC-GN-P01-GA-MCPS:IREF,float32,1,NA,MCPS_A Current Reference
EC-GN-P01-GA-GCPS:Voltage,float32,1,NA,GCPS_A Voltage
EC-GN-P01-GA-GCPS:Current,float32,1,NA,GCPS_A Current
EC-GN-P01-GA-GCPS:IREF,float32,1,NA,GCPS_A Current Reference
Float_Spare_12,float32,1,NA,Not Used
Float_Spare_13,float32,1,NA,Not Used
EC-GN-P01-GB-CCPS:IREF,float32,1,NA,CCPS_B Current Reference
EC-GN-P01-GB-FHPS:Voltage,float32,1,NA,FHPS_B Voltage
EC-GN-P01-GB-FHPS:Current,float32,1,NA,FHPS_B Current
EC-GN-P01-GB-FHPS:IREF,float32,1,NA,FHPS_B Current Reference
EC-GN-P01-GB-MCPS:Voltage,float32,1,NA,MCPS_B Voltage
EC-GN-P01-GB-MCPS:Current,float32,1,NA,MCPS_B Current
EC-GN-P01-GB-MCPS:IREF,float32,1,NA,MCPS_B Current Reference
EC-GN-P01-GB-GCPS:Voltage,float32,1,NA,GCPS_B Voltage
EC-GN-P01-GB-GCPS:Current,float32,1,NA,GCPS_B Current
EC-GN-P01-GB-GCPS:IREF,float32,1,NA,GCPS_B Current Reference
#Commands
ACK_EC-GN-P01-GAB-FCT:ABORT_CMD,uint8,1,NA,SM - Fast Controller Abort command. 16#88
ACK_EC-GN-P01-GAB-FCT:LOAD_CMD,uint8,1,NA,SM - Fast Controller Load command. 1=Start 3=Reset
ACK_EC-GN-P01-GAB-FCT:STBY_WAITTRIG_ONLINE,uint8,1,NA,SM - Go to STANDBY, Go to WAIT TRIGGER, Go to ONLINE. 16#22=Standby 16#33=Wait trigger 16#FF=Online
ACK_EC-GN-P01-GAB-FCT:START_POWER_CMD,uint8,1,NA,SM - START power command channel. 16#DD
ACK_EC-GN-P01-GAB-FCT:STOP_POWER_CMD,uint8,1,NA,SM - STOP power command channel. 16#EE
ACK_EC-GN-P01-GAB-FCT:SUSPEND_RESUME_CMD,uint8,1,NA,SM - suspend and resume channel. 16#AA=Suspend 16#77=Resume
ACK_EC-GN-P01-GAB-FCT:SEGREGATION_CMD,uint8,1,NA,SM - Segregation Channel - Detect when the alarm rises and send the correct command to FC to try to synchronize it. 16#CC=Release control 16#BB=Take control
ACK_EC-GN-P01-GA-CCPS:OPERATION_CMD,uint8,1,NA,CCPS_A Operation request START/SUSPEND. 1=Start 2=Suspend
ACK_EC-GN-P01-GA-CCPS:CONFIG_SEQ_CMD,uint8,1,NA,CCPS_A Configuration Sequence START/SUSPEND/RESET. 1=Start 2=Suspend 3=Reset
ACK_EC-GN-P01-GA-FHPS:RAMP_CMD,uint8,1,NA,FHPS_A Rampup/Rampdown request. 1=Start 2=Suspend
ACK_EC-GN-P01-GA-FHPS:CONFIG_SEQ_CMD,uint8,1,NA,FHPS_A Configuration Sequence START/SUSPEND/RESET. 1=Start 2=Suspend 3=Reset
ACK_EC-GN-P01-GA-MCPS:RAMP_CMD,uint8,1,NA,SCMM_A Rampup/Rampdown request. 1=Start 2=Suspend
ACK_EC-GN-P01-GA-MCPS:CONFIG_CMD,uint8,1,NA,SCMM_A Configuration request. 1=Start 2=Suspend 3=Reset
ACK_EC-GN-P01-GA-MCPS:HOLD_CMD,uint8,1,NA,SCMM_A Hold request. 1=Start 2=Suspend
ACK_EC-GN-P01-GA-GCPS:RAMP_CMD,uint8,1,NA,GCPS_A Rampup/Rampdown request. 1=Start 2=Suspend
ACK_EC-GN-P01-GA-GCPS:CONFIG_CMD,uint8,1,NA,GCPS_A Configuration request. 1=Start 2=Suspend 3=Reset
ACK_EC-GN-P01-GA-GCPS:HOLD_CMD,uint8,1,NA,GCPS_A Hold request. 1=Start 2=Suspend
