# SDN Packet definition. From PLC to FC
# Any line starting with a # will be ignored
# Unique Name, Type, Size, Default Value, Comment/Extra
# PLC SDN Header
N_Reals,uint8,1,60,Number of reals
N_Integer,uint8,1,4,Number of integer values
N_Cmds,uint8,1,27,Number of commands
N_States,uint8,1,25,Number of states
N_Alarms,uint8,1,24,Number of alarms (bits)
Spare_Bytes,uint8,3,,Spare bytes
#Reals/Floats
EC-GN-P01-GA-CCPS:Amplitude,float32,1,NA,V
EC-GN-P01-GA-CCPS:Amplitude_Max_Delta,float32,1,NA,Protection on the waveform. V
EC-GN-P01-GA-CCPS:Curr_Prot_Det_Time,float32,1,NA,0 to 2 s
EC-GN-P01-GA-CCPS:Current_Protection,float32,1,NA,105% to 110% of current value (in A)
EC-GN-P01-GA-CCPS:Frequency,float32,1,NA,Hz
EC-GN-P01-GA-CCPS:Voltage_Max,float32,1,NA,105% to 110% of voltage value (in V)
EC-GN-P01-GA-CCPS:Voltage_Min,float32,1,NA,0 to current voltage value (in V)
EC-GN-P01-GA-FHPS:AC_Current_Max,float32,1,NA,0.5 to 5.5 A
EC-GN-P01-GA-FHPS:AC_Voltage,float32,1,NA,if ACDC the range is same as the DC one. 0 to 150 V in L range or 0 to 300 V in H range 
EC-GN-P01-GA-FHPS:AC_Voltage_Max,float32,1,NA,0 to 305 V
EC-GN-P01-GA-FHPS:AC_Voltage_Min,float32,1,NA,0 to 305 V
EC-GN-P01-GA-FHPS:AVG_Voltage_Max,float32,1,NA,OVP. Only if ACDC. -474.1 to 474.1
EC-GN-P01-GA-FHPS:AVG_Voltage_Min,float32,1,NA,UVP. Only if ACDC. -474.1 to 474.1
EC-GN-P01-GA-FHPS:Current_Peak_Max,float32,1,NA,0.5 to 22 A
EC-GN-P01-GA-FHPS:Current_Peak_Min,float32,1,NA,-0.5 to -22 A
EC-GN-P01-GA-FHPS:Current_Trip_Delay,float32,1,NA,How long before tripping (maybe fixed). 0 to 10 s
EC-GN-P01-GA-FHPS:DC_Current_Max,float32,1,NA,Only if ACDC. 0.35 to 3.85 A
EC-GN-P01-GA-FHPS:DC_Voltage,float32,1,NA,Not sure if Japaneses use the AC or ACDC mode. 0 to 215 V in L range or 0 to 430 V in H range
EC-GN-P01-GA-FHPS:DC_Voltage_Max,float32,1,NA,Only if ACDC. -431 to 431
EC-GN-P01-GA-FHPS:DC_Voltage_Min,float32,1,NA,Only if ACDC. -431 to 431
